City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Georgetown,MY,2021-09-23 01:10:28,5.4112,100.3354,83.89,73,20,0.0
113,Mayo,US,2021-09-23 01:09:19,38.8876,-76.5119,76.98,92,75,11.01
114,Ayagoz,KZ,2021-09-23 01:10:28,47.9714,80.4392,36.81,57,100,8.57
115,Pangai,TO,2021-09-23 01:10:29,-19.8,-174.35,80.71,65,75,20.71
116,Dikson,RU,2021-09-23 01:07:43,73.5069,80.5464,34.95,95,100,8.61
117,Torbay,CA,2021-09-23 01:07:15,47.6666,-52.7314,62.28,82,100,4.0
118,Kudymkar,RU,2021-09-23 01:10:29,59.0173,54.656,33.76,95,76,4.52
119,Lafia,NG,2021-09-23 01:10:31,8.4833,8.5167,71.71,98,100,1.99
120,Kontagora,NG,2021-09-23 01:10:32,10.3999,5.4695,71.04,94,100,0.89
121,Sabang,ID,2021-09-23 01:10:32,5.8933,95.3214,81.18,75,100,5.32
122,Wasaga Beach,CA,2021-09-23 01:10:33,44.5168,-80.0164,54.41,96,100,1.99
123,Tuktoyaktuk,CA,2021-09-23 01:10:33,69.4541,-133.0374,34.9,66,100,12.3
124,Cabedelo,BR,2021-09-23 01:10:34,-6.9811,-34.8339,77.67,84,8,9.91
125,Fortuna,US,2021-09-23 01:09:28,40.5982,-124.1573,82.47,62,1,3.0
126,Maykor,RU,2021-09-23 01:10:35,59.0059,55.88,37.15,90,60,4.36
127,Sao Filipe,CV,2021-09-23 01:07:57,14.8961,-24.4956,78.93,80,24,4.88
128,Nowy Dwor Gdanski,PL,2021-09-23 01:10:35,54.2131,19.1177,53.37,87,97,8.61
129,Ribeira Grande,PT,2021-09-23 01:07:40,38.5167,-28.7,71.4,76,13,14.09
130,Burnie,AU,2021-09-23 01:09:57,-41.0667,145.9167,54.7,81,100,19.01
131,San Quintin,MX,2021-09-23 01:05:47,30.4833,-115.95,74.91,72,3,12.21
132,Paamiut,GL,2021-09-23 01:10:36,61.994,-49.6678,34.05,81,92,10.8
133,Brae,GB,2021-09-23 01:08:23,60.3964,-1.353,51.71,91,100,25.3
134,Linxia,CN,2021-09-23 01:10:37,35.6003,103.2064,60.49,55,4,1.39
135,Nisporeni,MD,2021-09-23 01:10:37,47.0814,28.1783,46.62,86,100,11.95
136,Axim,GH,2021-09-23 01:07:40,4.8699,-2.2405,76.37,92,100,5.26
137,Bredasdorp,ZA,2021-09-23 01:10:38,-34.5322,20.0403,58.28,70,0,4.05
138,Oranjemund,NA,2021-09-23 01:08:21,-28.55,16.4333,57.7,85,9,13.69
139,Samarai,PG,2021-09-23 01:10:39,-10.6167,150.6667,79.14,75,97,17.94
140,Souillac,MU,2021-09-23 01:10:40,-20.5167,57.5167,68.36,81,15,11.3
141,Kaitangata,NZ,2021-09-23 01:10:40,-46.2817,169.8464,61.56,45,94,1.36
142,Rozkishne,UA,2021-09-23 01:10:41,48.5074,39.3004,50.09,67,100,2.89
143,Cherskiy,RU,2021-09-23 01:10:42,68.75,161.3,32.86,84,100,7.31
144,Ouadda,CF,2021-09-23 01:10:43,8.0777,22.4007,67.33,96,100,2.55
145,Hermanus,ZA,2021-09-23 01:10:00,-34.4187,19.2345,58.8,55,6,6.13
146,Nizhniy Kuranakh,RU,2021-09-23 01:10:43,58.8353,125.4869,43.38,91,100,2.64
147,Saint George,US,2021-09-23 01:07:34,37.1041,-113.5841,93.67,12,1,1.01
148,Nokaneng,BW,2021-09-23 01:10:44,-19.6667,22.2667,64.15,59,55,11.95
149,Antofagasta,CL,2021-09-23 01:10:44,-23.65,-70.4,56.48,74,23,7.94
150,Tabory,RU,2021-09-23 01:10:45,58.5198,64.5495,38.86,83,100,3.53
